"","Phi","p","f","model","npar","AICc","DeltaAICc","weight","Deviance"
"803","~rain_sum2 * season2","~year2","~rain_cv2 + season2 + sex","Phi(~rain_sum2 * season2)p(~year2)f(~rain_cv2 + season2 + sex)",19,17726.158502706,197.066830406617,0,913.76517
"49","~gpp_avg2 + season2","~time + sex","~rain_cv_lag2 + season2","Phi(~gpp_avg2 + season2)p(~time + sex)f(~rain_cv_lag2 + season2)",29,17726.4807285887,197.389056289325,0,893.79068
"943","~temp_cv2 * season2","~time + sex","~rain_cv_lag2 + season2 + sex","Phi(~temp_cv2 * season2)p(~time + sex)f(~rain_cv_lag2 + season2 + sex)",31,17726.9936722993,197.902000000002,0,890.22976
"935","~temp_cv2 * season2","~time","~rain_sum_lag2 + season2 + sex","Phi(~temp_cv2 * season2)p(~time)f(~rain_sum_lag2 + season2 + sex)",30,17727.1210859729,198.029413673517,0,892.39536
"794","~rain_sum2 * season2","~year2","~gpp_avg2 + season2 + sex","Phi(~rain_sum2 * season2)p(~year2)f(~gpp_avg2 + season2 + sex)",19,17727.411502706,198.319830406617,0,915.01809
"795","~rain_sum2 * season2","~year2","~gpp_avg2 * season2 + sex","Phi(~rain_sum2 * season2)p(~year2)f(~gpp_avg2 * season2 + sex)",20,17728.6836315789,199.591959279613,0,914.26545
"949","~temp_cv2 * season2","~time + sex","~rain_sum_lag2 + season2 + sex","Phi(~temp_cv2 * season2)p(~time + sex)f(~rain_sum_lag2 + season2 + sex)",31,17729.1116722993,200.02,0,892.34808
"527","~rain_cv2 * season2 + sex","~year2","~rain_cv2 + season2 + sex","Phi(~rain_cv2 * season2 + sex)p(~year2)f(~rain_cv2 + season2 + sex)",20,17729.3166315789,200.224959279611,0,914.89855
"929","~temp_cv2 * season2","~time","~rain_cv_lag2 + season2","Phi(~temp_cv2 * season2)p(~time)f(~rain_cv_lag2 + season2)",29,17730.8217285887,201.730056289325,0,898.13211
"798","~rain_sum2 * season2","~year2","~oni_avg2 + season2 + sex","Phi(~rain_sum2 * season2)p(~year2)f(~oni_avg2 + season2 + sex)",19,17731.191502706,202.099830406616,0,918.79819
"817","~rain_sum2 * season2 + sex","~time","~rain_cv_lag2 + season2 + sex","Phi(~rain_sum2 * season2 + sex)p(~time)f(~rain_cv_lag2 + season2 + sex)",31,17731.5586722993,202.467000000001,0,894.79478
"691","~rain_sum2 + season2","~time","~rain_cv_lag2 * season2 + sex","Phi(~rain_sum2 + season2)p(~time)f(~rain_cv_lag2 * season2 + sex)",30,17731.8370859729,202.745413673518,0,897.11056
"934","~temp_cv2 * season2","~time","~rain_sum_lag2 + season2","Phi(~temp_cv2 * season2)p(~time)f(~rain_sum_lag2 + season2)",29,17732.0217285887,202.930056289326,0,899.3319
"219","~oni_avg2 + season2 + sex","~time","~rain_cv_lag2 * season2 + sex","Phi(~oni_avg2 + season2 + sex)p(~time)f(~rain_cv_lag2 * season2 + sex)",31,17732.9456722993,203.854000000003,0,896.18194
"948","~temp_cv2 * season2","~time + sex","~rain_sum_lag2 + season2","Phi(~temp_cv2 * season2)p(~time + sex)f(~rain_sum_lag2 + season2)",30,17733.2840859729,204.192413673518,0,898.558
"701","~rain_sum2 + season2","~time + sex","~rain_cv_lag2 * season2 + sex","Phi(~rain_sum2 + season2)p(~time + sex)f(~rain_cv_lag2 * season2 + sex)",31,17733.6646722993,204.573,0,896.90116
