"","Phi","p","f","model","npar","AICc","DeltaAICc","weight","Deviance"
"10858","~temp_cv2 + season2 + year2","~year2 * season2 + sex","~rain_cv_lag2 + season2 + sex","Phi(~temp_cv2 + season2 + year2)p(~year2 * season2 + sex)f(~rain_cv_lag2 + season2 + sex)",40,17511.4444357035,95.6237852180457,0,656.28648
"10279","~temp_cv2 + season2","~year2 + sex","~gpp_avg2 + season2 + sex + year2","Phi(~temp_cv2 + season2)p(~year2 + sex)f(~gpp_avg2 + season2 + sex + year2)",29,17511.4477285887,95.6270781032254,0,678.75809
"4624","~rain_cv_lag2 * season2 + sex","~time + sex","~rain_sum2 * season2 + sex + year2","Phi(~rain_cv_lag2 * season2 + sex)p(~time + sex)f(~rain_sum2 * season2 + sex + year2)",43,17511.4699721381,95.6493216526651,0,650.1587
"4760","~rain_cv_lag2 * season2 + sex","~year2 * season2 + sex","~rain_sum2 * season2 + sex + year2","Phi(~rain_cv_lag2 * season2 + sex)p(~year2 * season2 + sex)f(~rain_sum2 * season2 + sex + year2)",43,17511.4699721381,95.6493216526651,0,650.1587
"12109","~year2 + season2 * sex","~year2 * season2 + sex","~rain_cv_lag2 * season2","Phi(~year2 + season2 * sex)p(~year2 * season2 + sex)f(~rain_cv_lag2 * season2)",41,17511.4923728814,95.6717223959204,0,654.2852
"6807","~rain_cv2 * season2 + year2","~year2 * season2 + sex","~temp_cv2 + season2 + sex + year2","Phi(~rain_cv2 * season2 + year2)p(~year2 * season2 + sex)f(~temp_cv2 + season2 + sex + year2)",51,17511.5252003643,95.7045498788648,0,633.74959
"9337","~rain_sum2 + year2","~year2 + sex","~oni_avg2 * season2 + year2","Phi(~rain_sum2 + year2)p(~year2 + sex)f(~oni_avg2 * season2 + year2)",38,17511.5422806169,95.7216301314402,0,660.48095
"3743","~rain_cv_lag2 + season2 + sex","~time + sex","~gpp_avg2 * season2 + sex + year2","Phi(~rain_cv_lag2 + season2 + sex)p(~time + sex)f(~gpp_avg2 * season2 + sex + year2)",42,17511.586551317,95.7659008315495,0,652.32788
"3845","~rain_cv_lag2 + season2 + sex","~year2 * season2 + sex","~gpp_avg2 * season2 + sex + year2","Phi(~rain_cv_lag2 + season2 + sex)p(~year2 * season2 + sex)f(~gpp_avg2 * season2 + sex + year2)",42,17511.586551317,95.7659008315495,0,652.32788
"268","~gpp_avg2 + season2 + sex","~year2","~gpp_avg2 * season2 + sex + year2","Phi(~gpp_avg2 + season2 + sex)p(~year2)f(~gpp_avg2 * season2 + sex + year2)",30,17511.6020859729,95.7814354874172,0,676.87622
"10297","~temp_cv2 + season2","~year2 + sex","~rain_sum_lag2 + season2 + sex + year2","Phi(~temp_cv2 + season2)p(~year2 + sex)f(~rain_sum_lag2 + season2 + sex + year2)",29,17511.6117285887,95.791078103226,0,678.92156
"10311","~temp_cv2 + season2","~year2 + sex","~temp_cv2 + season2 + sex + year2","Phi(~temp_cv2 + season2)p(~year2 + sex)f(~temp_cv2 + season2 + sex + year2)",29,17511.6207285887,95.8000781032279,0,678.93067
"7433","~rain_sum_lag2 + season2 + year2","~year2","~rain_sum2 + season2 + year2","Phi(~rain_sum_lag2 + season2 + year2)p(~year2)f(~rain_sum2 + season2 + year2)",37,17511.6240604595,95.803409974058,0,662.60871
"2891","~oni_avg2 * season2 + sex","~time + sex","~rain_cv_lag2 + season2 + sex + year2","Phi(~oni_avg2 * season2 + sex)p(~time + sex)f(~rain_cv_lag2 + season2 + sex + year2)",42,17511.636551317,95.8159008315524,0,652.37779
"284","~gpp_avg2 + season2 + sex","~year2","~rain_sum_lag2 + season2 + sex + year2","Phi(~gpp_avg2 + season2 + sex)p(~year2)f(~rain_sum_lag2 + season2 + sex + year2)",29,17511.6467285887,95.8260781032259,0,678.95662
"6020","~rain_cv2 + year2","~year2","~year2 + season2 + sex","Phi(~rain_cv2 + year2)p(~year2)f(~year2 + season2 + sex)",36,17511.6570770626,95.8364265771197,0,664.68722
"8066","~rain_sum_lag2 * season2 + sex + year2","~year2","~rain_sum_lag2 * season2 + sex","Phi(~rain_sum_lag2 * season2 + sex + year2)p(~year2)f(~rain_sum_lag2 * season2 + sex)",31,17511.6616722993,95.8410218138997,0,674.89777
"3118","~oni_avg2 * season2 + sex + year2","~year2","~rain_cv2 * season2 + sex","Phi(~oni_avg2 * season2 + sex + year2)p(~year2)f(~rain_cv2 * season2 + sex)",31,17511.6756722993,95.8550218139026,0,674.91147
"9805","~rain_sum2 * season2 + sex + year2","~year2","~oni_avg2 + season2 + sex","Phi(~rain_sum2 * season2 + sex + year2)p(~year2)f(~oni_avg2 + season2 + sex)",30,17511.6890859729,95.8684354874167,0,676.96282
"9090","~rain_sum2 + season2 + year2","~year2","~rain_sum2 * season2 + sex + year2","Phi(~rain_sum2 + season2 + year2)p(~year2)f(~rain_sum2 * season2 + sex + year2)",39,17511.699738657,95.879088171554,0,658.59089
"7198","~rain_sum_lag2 + season2 + sex + year2","~year2","~gpp_avg2 + season2 + sex","Phi(~rain_sum_lag2 + season2 + sex + year2)p(~year2)f(~gpp_avg2 + season2 + sex)",29,17511.7017285887,95.8810781032262,0,679.01207
"11145","~temp_cv2 * season2","~year2 + sex","~rain_cv_lag2 + season2 + year2","Phi(~temp_cv2 * season2)p(~year2 + sex)f(~rain_cv_lag2 + season2 + year2)",29,17511.7087285887,95.8880781032276,0,679.01879
"5665","~rain_cv2 + season2 + sex + year2","~year2 * season2 + sex","~rain_cv_lag2 + season2 + sex","Phi(~rain_cv2 + season2 + sex + year2)p(~year2 * season2 + sex)f(~rain_cv_lag2 + season2 + sex)",41,17511.7323728814,95.9117223959183,0,654.5252
"11331","~temp_cv2 * season2 + sex","~year2 + sex","~year2 * season2 + sex","Phi(~temp_cv2 * season2 + sex)p(~year2 + sex)f(~year2 * season2 + sex)",39,17511.733738657,95.9130881715537,0,658.62506
"9372","~rain_sum2 + year2","~year2 + sex","~temp_cv2 + season2 + year2","Phi(~rain_sum2 + year2)p(~year2 + sex)f(~temp_cv2 + season2 + year2)",37,17511.7490604595,95.928409974058,0,662.73368
"297","~gpp_avg2 + season2 + sex","~year2","~year2 + season2 + sex","Phi(~gpp_avg2 + season2 + sex)p(~year2)f(~year2 + season2 + sex)",28,17511.7545990353,95.9339485498385,0,681.10021
