CodigoNacional,Fecha,Total,Traza,Parcial,NumDatos,FechaPro
330021,09-11-1967,0,0,0,1,2019-03-08 10:31
330021,10-11-1967,0,0,0,1,2019-03-08 10:31
330021,11-11-1967,0,0,0,1,2019-03-08 10:31
330021,12-11-1967,0,0,0,1,2019-03-08 10:31
330021,13-11-1967,0,0,0,1,2019-03-08 10:31
330021,14-11-1967,0,0,0,1,2019-03-08 10:31
330021,15-11-1967,0,0,0,1,2019-03-08 10:31
330021,16-11-1967,0,0,0,1,2019-03-08 10:31
330021,17-11-1967,0,0,0,1,2019-03-08 10:31
330021,18-11-1967,0,0,0,1,2019-03-08 10:31
330021,19-11-1967,0,0,0,1,2019-03-08 10:31
330021,20-11-1967,0,0,0,1,2019-03-08 10:31
330021,21-11-1967,0,0,0,1,2019-03-08 10:31
330021,22-11-1967,0,0,0,1,2019-03-08 10:31
330021,23-11-1967,0,0,0,1,2019-03-08 10:31
330021,24-11-1967,0,0,0,1,2019-03-08 10:31
330021,25-11-1967,0,0,0,1,2019-03-08 10:31
330021,26-11-1967,0,0,0,1,2019-03-08 10:31
330021,27-11-1967,0,0,0,1,2019-03-08 10:31
330021,28-11-1967,0,0,0,1,2019-03-08 10:31
330021,29-11-1967,0,0,0,1,2019-03-08 10:31
330021,30-11-1967,0,0,0,1,2019-03-08 10:31
330021,01-12-1967,0,0,0,1,2019-03-08 10:31
330021,02-12-1967,0,0,0,1,2019-03-08 10:31
330021,03-12-1967,0,0,0,1,2019-03-08 10:31
330021,04-12-1967,0,0,0,1,2019-03-08 10:31
330021,05-12-1967,0,0,0,1,2019-03-08 10:31
330021,06-12-1967,0,0,0,1,2019-03-08 10:31
330021,07-12-1967,0,0,0,1,2019-03-08 10:31
330021,08-12-1967,0,0,0,1,2019-03-08 10:31
330021,09-12-1967,0,0,0,1,2019-03-08 10:31
330021,10-12-1967,0,0,0,1,2019-03-08 10:31
330021,11-12-1967,0,0,0,1,2019-03-08 10:31
330021,12-12-1967,0,0,0,1,2019-03-08 10:31
330021,13-12-1967,0,0,0,1,2019-03-08 10:31
330021,14-12-1967,0,0,0,1,2019-03-08 10:31
330021,15-12-1967,0,0,0,1,2019-03-08 10:31
330021,16-12-1967,0,0,0,1,2019-03-08 10:31
330021,17-12-1967,0,0,0,1,2019-03-08 10:31
330021,18-12-1967,0,0,0,1,2019-03-08 10:31
330021,19-12-1967,0,0,0,1,2019-03-08 10:31
330021,20-12-1967,0,0,0,1,2019-03-08 10:31
330021,21-12-1967,0,0,0,1,2019-03-08 10:31
330021,22-12-1967,0,0,0,1,2019-03-08 10:31
330021,23-12-1967,0,0,0,1,2019-03-08 10:31
330021,24-12-1967,0,0,0,1,2019-03-08 10:31
330021,25-12-1967,0,0,0,1,2019-03-08 10:31
330021,26-12-1967,0,0,0,1,2019-03-08 10:31
330021,27-12-1967,0,0,0,1,2019-03-08 10:31
330021,28-12-1967,0,0,0,1,2019-03-08 10:31
330021,29-12-1967,0,0,0,1,2019-03-08 10:31
