"","Phi","p","f","model","npar","AICc","DeltaAICc","weight","Deviance"
"111","~season2","~season2 + sex","~year2 + season2 * sex","Phi(~season2)p(~season2 + sex)f(~year2 + season2 * sex)",19,17639.2735027059,199.570764048964,0,826.88023
"944","~year2 + sex","~time + sex","~season2","Phi(~year2 + sex)p(~time + sex)f(~season2)",37,17640.3630604595,200.660321802505,0,791.34745
"977","~year2 + sex","~year2 * season2 + sex","~season2","Phi(~year2 + sex)p(~year2 * season2 + sex)f(~season2)",37,17640.6560604595,200.953321802506,0,791.64049
"186","~season2 + sex","~1","~year2 + season2 + sex","Phi(~season2 + sex)p(~1)f(~year2 + season2 + sex)",17,17643.2078942308,203.505155573785,0,834.85875
"471","~year2","~season2","~year2 * season2","Phi(~year2)p(~season2)f(~year2 * season2)",34,17643.4158160677,203.713077410666,0,800.53145
"899","~year2 + sex","~season2","~year2 + season2 + sex","Phi(~year2 + sex)p(~season2)f(~year2 + season2 + sex)",27,17643.4806962025,203.777957545546,0,814.86019
"525","~year2","~year2 * season2","~season2 + sex","Phi(~year2)p(~year2 * season2)f(~season2 + sex)",36,17644.5860770626,204.883338405569,0,797.61629
"109","~season2","~season2 + sex","~year2 + season2","Phi(~season2)p(~season2 + sex)f(~year2 + season2)",17,17644.7028942308,205.000155573784,0,836.3539
"1022","~year2 * sex","~season2 + sex","~year2 + season2 + sex","Phi(~year2 * sex)p(~season2 + sex)f(~year2 + season2 + sex)",38,17645.6432806169,205.940541959888,0,794.58244
"536","~year2","~year2 * season2 + sex","~season2 + sex","Phi(~year2)p(~year2 * season2 + sex)f(~season2 + sex)",37,17646.0380604595,206.335321802504,0,797.02329
"85","~season2","~1","~year2 + season2 * sex","Phi(~season2)p(~1)f(~year2 + season2 * sex)",17,17646.5798942308,206.877155573784,0,838.23056
"225","~season2 + sex","~sex","~year2 + season2 + sex","Phi(~season2 + sex)p(~sex)f(~year2 + season2 + sex)",18,17646.7325906222,207.029851965195,0,836.3615
"1060","~year2 * sex","~time + sex","~year2 + season2 * sex","Phi(~year2 * sex)p(~time + sex)f(~year2 + season2 * sex)",59,17647.0575952526,207.354856595601,0,752.73832
"224","~season2 + sex","~sex","~year2 + season2","Phi(~season2 + sex)p(~sex)f(~year2 + season2)",17,17648.0248942308,208.322155573784,0,839.67601
"324","~season2 * sex","~sex","~year2 + season2 + sex","Phi(~season2 * sex)p(~sex)f(~year2 + season2 + sex)",19,17648.7565027059,209.053764048964,0,836.36262
"1048","~year2 * sex","~time","~year2 + season2 * sex","Phi(~year2 * sex)p(~time)f(~year2 + season2 * sex)",58,17649.1401417706,209.437403113625,0,756.89288
"323","~season2 * sex","~sex","~year2 + season2","Phi(~season2 * sex)p(~sex)f(~year2 + season2)",18,17650.0465906222,210.343851965197,0,839.67555
"524","~year2","~year2 * season2","~season2","Phi(~year2)p(~year2 * season2)f(~season2)",35,17650.5293293051,210.82659064815,0,805.60326
"123","~season2","~sex","~year2 + season2 + sex","Phi(~season2)p(~sex)f(~year2 + season2 + sex)",17,17650.6588942308,210.956155573782,0,842.31007
"535","~year2","~year2 * season2 + sex","~season2","Phi(~year2)p(~year2 * season2 + sex)f(~season2)",36,17652.0240770626,212.321338405571,0,805.0537
"1009","~year2 * sex","~season2","~year2 + season2 + sex","Phi(~year2 * sex)p(~season2)f(~year2 + season2 + sex)",37,17652.7670604595,213.064321802507,0,803.75187
"1082","~year2 * sex","~year2 * season2","~season2 * sex","Phi(~year2 * sex)p(~year2 * season2)f(~season2 * sex)",48,17653.1577515924,213.45501293537,0,781.56595
"965","~year2 + sex","~year2 * season2","~season2 + sex","Phi(~year2 + sex)p(~year2 * season2)f(~season2 + sex)",37,17653.7620604595,214.059321802506,0,804.74659
"911","~year2 + sex","~season2 + sex","~year2 + season2","Phi(~year2 + sex)p(~season2 + sex)f(~year2 + season2)",27,17655.0736962025,215.370957545543,0,826.4531
"1054","~year2 * sex","~time + sex","~season2 + sex","Phi(~year2 * sex)p(~time + sex)f(~season2 + sex)",48,17655.2137515924,215.511012935371,0,783.62146
"1094","~year2 * sex","~year2 * season2 + sex","~season2 + sex","Phi(~year2 * sex)p(~year2 * season2 + sex)f(~season2 + sex)",48,17655.2137515924,215.511012935371,0,783.62228
"84","~season2","~1","~year2 + season2 + sex","Phi(~season2)p(~1)f(~year2 + season2 + sex)",16,17655.9494124362,216.24667377918,0,849.62106
"898","~year2 + sex","~season2","~year2 + season2","Phi(~year2 + sex)p(~season2)f(~year2 + season2)",26,17657.3390189816,217.636280324637,0,830.75052
"122","~season2","~sex","~year2 + season2","Phi(~season2)p(~sex)f(~year2 + season2)",16,17657.9284124362,218.225673779179,0,851.5998
"481","~year2","~season2 + sex","~year2 + season2 + sex","Phi(~year2)p(~season2 + sex)f(~year2 + season2 + sex)",27,17659.1876962025,219.484957545545,0,830.56681
